12	24	37	42	57	18	4
7	10	30	33	59	23	4
10	16	31	42	66	10	3
33	36	63	68	69	16	3
34	46	57	65	69	11	3
8	14	27	57	67	5	4
28	34	37	56	69	12	2
3	23	28	46	62	16	2
20	31	39	46	49	23	2
1	28	61	62	63	5	4
5	28	62	65	70	5	3
15	23	53	65	70	7	2
3	45	49	61	69	9	5
4	24	46	61	70	7	3
20	22	39	54	60	18	3
27	28	32	41	69	12	2
2	22	29	31	34	1	3
39	45	52	56	59	15	3
8	16	32	48	61	12	2
1	2	11	52	64	9	4
31	32	43	63	68	17	2
23	30	40	43	66	13	4
15	30	51	62	67	19	2
8	10	41	54	68	10	2
2	7	25	35	44	3	3
7	18	29	32	45	17	3
3	20	33	34	41	20	3
1	6	13	18	49	8	2
14	16	19	38	57	11	3
1	31	32	47	56	3	2
11	26	44	45	46	11	2
1	3	12	22	42	6	5
2	13	15	21	62	2	5
9	28	30	54	60	2	2
12	15	35	64	69	9	2
1	32	40	49	63	20	3
1	2	4	19	29	20	3
1	14	30	44	62	1	2
40	41	61	66	67	12	5
21	22	39	59	68	2	2
1	17	28	56	70	14	3
2	10	46	50	56	16	3
13	35	45	49	68	23	2
2	32	47	49	68	23	4
17	25	29	39	60	19	2
2	6	11	27	44	20	2
11	13	28	65	70	14	3
1	11	37	47	51	6	2
1	3	5	8	70	3	2
14	30	33	44	56	13	2
22	33	41	48	52	4	2
5	24	52	62	66	17	3

